Modulo,Criterio,Peso (%),Nivel 1,Nivel 2,Nivel 3,Nivel 4,Comentarios
HTML,Semantica,15,Tags genericas,Parcial,Correta,Refinada e consistente,
HTML,Acessibilidade,15,Falhas graves,Basico,Teclado/alt ok,Landmarks + aria avancado,
HTML,Estrutura,10,Caotica,Parcial,Modular,Escalavel + documentada,
CSS,Arquitetura,15,Caotica,Irregular,BEM razoavel,BEM + tokens solidos,
CSS,Responsividade,15,Quebra,Parcial,Completa,Fluida refinada,
CSS,Acessibilidade Visual,10,Contraste ruim,Aceitavel,Foco/contraste ok,Motion/contraste avancado,
JS,Fundamentos,10,Erros basicos,Basico,Idiomatico,Excelente,
JS,Modularizacao,10,Monolitico,Fragmentado,Coeso,Baixo acoplamento,
DOM,Eventos e Estado,10,Desorganizado,Funciona,Delegacao correta,Escalavel,
SPA,Router/Estado,10,Instavel,Funciona,Consistente,Extensivel,
SPA,Acessibilidade Dinamica,10,Ignorada,Parcial,Foco gerenciado,Completa (aria-live, skip),
Performance,Carregamento,5,Sem otimizacao,Basico,Lazy aplicado,Metricas guiando decisoes,
Testes,Cobertura,5,Nenhum,Minimo,Logica chave,Planejada,
Documentacao,Clareza,5,Ausente,Rasa,Clara,Excelente + diagramas,
